Entry Time,Exit Time,Plate Number,Duration (hours),Fare (₹)
2026-01-11 00:47:06,,UNKNOWN_197,,
2026-01-11 00:48:49,,UNKNOWN_328,,
2026-01-11 00:48:49,2026-01-11 00:48:59,UNKNOWN_328,0.0,101.0
