Entry Time,Exit Time,Plate Number,Duration (hours),Fare (₹)
2026-01-10 23:08:45,,R183JF,,
2026-01-10 23:08:45,2026-01-10 23:08:54,R183JF,0.0,50.0
2026-01-10 23:08:59,,R183JF,,
2026-01-10 23:09:16,,L656KH,,
2026-01-10 23:09:27,,UNKNOWN_79,,
