Entry Time,Exit Time,Plate Number,Duration (hours),Fare (₹)
2026-01-10 22:45:20,,R183JF,,
2026-01-10 22:45:20,2026-01-10 22:45:32,R183JF,0.0,50.0
2026-01-10 22:45:50,,L605HZ,,
2026-01-10 22:46:06,,UNKNOWN_234,,
2026-01-10 22:48:02,,R183JE,,
2026-01-10 22:48:07,,UNKNOWN_581,,
2026-01-10 22:48:48,,R183JF,,
2026-01-10 22:48:48,2026-01-10 22:48:53,R183JF,0.0,50.0
