Entry Time,Exit Time,Plate Number,Duration (hours),Fare (₹)
2026-01-11 00:51:18,,UNKNOWN_83,,
2026-01-11 00:51:24,,A004RS,,
2026-01-11 00:51:24,2026-01-11 00:51:25,A004RS,0.0,101.0
2026-01-11 00:51:42,,UNKNOWN_138,,
